AAPL,2023-02-26T20:58:00+03:00,112.093206,119.578587,100.593426,111.796684
SBER,2023-02-26T20:58:00+03:00,218.810182,219.098909,200.038078,211.187849
NVDA,2023-02-26T20:58:00+03:00,313.291201,319.538337,300.010276,316.308103
TSLA,2023-02-26T20:58:00+03:00,408.754284,419.719295,400.566062,417.560235
AAPL,2023-02-26T21:00:00+03:00,114.218144,117.926835,100.256518,105.015246
SBER,2023-02-26T21:00:00+03:00,211.275592,219.983190,200.038078,216.972658
NVDA,2023-02-26T21:00:00+03:00,312.989789,319.477637,300.010276,319.477637
TSLA,2023-02-26T21:00:00+03:00,411.035301,419.719295,400.606451,404.251219
AAPL,2023-02-26T21:02:00+03:00,101.994593,119.341887,100.256518,115.822507
SBER,2023-02-26T21:02:00+03:00,203.036868,219.983190,200.374264,205.247638
NVDA,2023-02-26T21:02:00+03:00,301.523805,319.477637,300.153624,306.937278
TSLA,2023-02-26T21:02:00+03:00,406.304162,419.965476,400.396173,404.293074
AAPL,2023-02-26T21:04:00+03:00,112.586634,119.517905,100.296547,119.252484
SBER,2023-02-26T21:04:00+03:00,215.034812,219.709312,200.088893,200.860007
NVDA,2023-02-26T21:04:00+03:00,312.640069,319.782642,300.097596,314.253252
TSLA,2023-02-26T21:04:00+03:00,401.938684,419.965476,401.021882,401.021882
TSLA,2023-02-26T21:06:00+03:00,406.307240,419.719887,400.814399,410.739612
AAPL,2023-02-26T21:06:00+03:00,119.517905,119.517905,101.639389,112.629532
SBER,2023-02-26T21:06:00+03:00,209.051690,219.012465,200.088893,204.915839
NVDA,2023-02-26T21:06:00+03:00,300.899814,319.782642,300.097596,319.350105
AAPL,2023-02-26T21:08:00+03:00,101.981404,112.629532,101.981404,0.000000
SBER,2023-02-26T21:08:00+03:00,202.811506,204.915839,202.811506,0.000000
NVDA,2023-02-26T21:08:00+03:00,303.184071,319.350105,303.184071,0.000000
TSLA,2023-02-26T21:08:00+03:00,418.880302,418.880302,410.739612,0.000000
