{NVDA 2m 313.29120106436983 313.58169351840434 301.3127403843495 311.41346552142045 2023-03-28 03:32:00 +0300 MSK}
{TSLA 2m 408.7542837437396 417.2498287489577 403.1303850946558 417.2498287489577 2023-03-28 03:32:00 +0300 MSK}
{AAPL 2m 112.0932057595924 112.0932057595924 101.93939037828969 104.06373753294646 2023-03-28 03:32:00 +0300 MSK}
{SBER 2m 218.81018176090026 218.81018176090026 205.86203714673633 207.21742833713813 2023-03-28 03:32:00 +0300 MSK}
{TSLA 2m 404.131653238274 419.71929458680495 400.5660616665178 408.1923655576999 2023-03-28 03:34:00 +0300 MSK}
{AAPL 2m 105.86228489107717 119.57858711153375 101.71041015083823 107.99967525713991 2023-03-28 03:34:00 +0300 MSK}
{SBER 2m 205.94165127112583 219.09890880833564 201.18241302627752 209.95736226685403 2023-03-28 03:34:00 +0300 MSK}
{NVDA 2m 315.05146071103223 319.5383373717252 300.0102763103224 312.0795620456586 2023-03-28 03:34:00 +0300 MSK}
{SBER 2m 200.03807789028474 219.98318980440666 200.03807789028474 219.98318980440666 2023-03-28 03:36:00 +0300 MSK}
{NVDA 2m 300.05686082349723 316.55856192301115 300.05686082349723 308.2308072644095 2023-03-28 03:36:00 +0300 MSK}
{TSLA 2m 418.31642629225917 418.5922327089806 400.6064509566601 402.2334927352961 2023-03-28 03:36:00 +0300 MSK}
{AAPL 2m 100.59342562549773 116.52908251269484 100.25651818212722 101.15852519328672 2023-03-28 03:36:00 +0300 MSK}
{AAPL 2m 115.61508169116985 119.34188682743546 100.29654738989753 116.79894842341119 2023-03-28 03:38:00 +0300 MSK}
{SBER 2m 201.84235248881484 219.70931157266494 200.37426442279312 200.46219136821088 2023-03-28 03:38:00 +0300 MSK}
{NVDA 2m 301.06989248988816 319.47763748141347 300.7150929487217 302.4872703719908 2023-03-28 03:38:00 +0300 MSK}
{TSLA 2m 414.2939163178326 419.9654762201699 400.39617340650904 405.2235123837644 2023-03-28 03:38:00 +0300 MSK}
